Train: 3872 Test: 968

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 112: train 1.5852e-02 | val 3.9189e-02
Epoch 113: train 1.5852e-02 | val 3.8695e-02
Epoch 114: train 1.5872e-02 | val 3.8723e-02
Epoch 115: train 1.5866e-02 | val 3.8725e-02
Epoch 116: train 1.5888e-02 | val 3.8404e-02
Epoch 117: train 1.5848e-02 | val 3.9274e-02
Epoch 118: train 1.5821e-02 | val 3.8156e-02
Epoch 119: train 1.5811e-02 | val 3.7804e-02
Epoch 120: train 1.5793e-02 | val 3.8639e-02
Epoch 121: train 1.5813e-02 | val 3.8484e-02
Epoch 122: train 1.5816e-02 | val 3.8122e-02
Epoch 123: train 1.5820e-02 | val 3.8518e-02
Epoch 124: train 1.5835e-02 | val 3.8078e-02
Epoch 125: train 1.5804e-02 | val 3.8411e-02
Epoch 126: train 1.5800e-02 | val 3.8754e-02
Epoch 127: train 1.5792e-02 | val 3.8652e-02
Epoch 128: train 1.5826e-02 | val 3.8260e-02
Epoch 129: train 1.5813e-02 | val 3.8789e-02
Epoch 130: train 1.5800e-02 | val 3.7885e-02
Epoch 131: train 1.5842e-02 | val 3.8906e-02
Epoch 132: train 1.5780e-02 | val 3.9134e-02
Epoch 133: train 1.5823e-02 | val 3.8341e-02
Epoch 134: train 1.5766e-02 | val 3.7819e-02
Epoch 135: train 1.5806e-02 | val 3.8591e-02
Epoch 136: train 1.5762e-02 | val 3.8787e-02
Epoch 137: train 1.5768e-02 | val 3.9650e-02
Epoch 138: train 1.5741e-02 | val 3.9609e-02
Epoch 139: train 1.5742e-02 | val 3.9469e-02
Epoch 140: train 1.5725e-02 | val 3.8686e-02
Epoch 141: train 1.5714e-02 | val 3.8742e-02
Epoch 142: train 1.5725e-02 | val 3.8110e-02
Epoch 143: train 1.5742e-02 | val 3.8369e-02
Epoch 144: train 1.5740e-02 | val 3.8499e-02
Epoch 145: train 1.5710e-02 | val 3.8191e-02
Epoch 146: train 1.5736e-02 | val 3.8167e-02
Epoch 147: train 1.5719e-02 | val 3.8414e-02
Epoch 148: train 1.5709e-02 | val 3.8681e-02
Epoch 149: train 1.5718e-02 | val 3.8750e-02
Epoch 150: train 1.5706e-02 | val 3.8941e-02
Epoch 151: train 1.5699e-02 | val 3.8443e-02
Epoch 152: train 1.5754e-02 | val 3.8643e-02
Epoch 153: train 1.5718e-02 | val 3.8320e-02
Epoch 154: train 1.5725e-02 | val 3.8531e-02
Epoch 155: train 1.5733e-02 | val 3.9300e-02
Epoch 156: train 1.5685e-02 | val 3.9091e-02
Epoch 157: train 1.5693e-02 | val 3.9570e-02
Epoch 158: train 1.5709e-02 | val 3.8651e-02
Epoch 159: train 1.5678e-02 | val 3.8524e-02
Epoch 160: train 1.5674e-02 | val 3.8846e-02
Epoch 161: train 1.5680e-02 | val 3.8963e-02
Epoch 162: train 1.5668e-02 | val 3.8465e-02
Epoch 163: train 1.5669e-02 | val 3.8689e-02
Epoch 164: train 1.5656e-02 | val 3.8383e-02
Epoch 165: train 1.5672e-02 | val 3.8832e-02
