Train: 2400 Test: 600

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 112: train 1.5164e-02 | val 5.3516e-02
Epoch 113: train 1.5138e-02 | val 5.3612e-02
Epoch 114: train 1.5122e-02 | val 5.5157e-02
Epoch 115: train 1.5108e-02 | val 5.4514e-02
Epoch 116: train 1.5064e-02 | val 5.4942e-02
Epoch 117: train 1.5047e-02 | val 5.5572e-02
Epoch 118: train 1.5019e-02 | val 5.5063e-02
Epoch 119: train 1.5002e-02 | val 5.5576e-02
Epoch 120: train 1.4960e-02 | val 5.6460e-02
Epoch 121: train 1.4950e-02 | val 5.5840e-02
Epoch 122: train 1.4923e-02 | val 5.6280e-02
Epoch 123: train 1.4902e-02 | val 5.5811e-02
Epoch 124: train 1.4891e-02 | val 5.6877e-02
Epoch 125: train 1.4899e-02 | val 5.7124e-02
Epoch 126: train 1.4844e-02 | val 5.6628e-02
Epoch 127: train 1.4819e-02 | val 5.6699e-02
Epoch 128: train 1.4813e-02 | val 5.7736e-02
Epoch 129: train 1.4788e-02 | val 5.6677e-02
Epoch 130: train 1.4761e-02 | val 5.7460e-02
Epoch 131: train 1.4741e-02 | val 5.7435e-02
Epoch 132: train 1.4729e-02 | val 5.7248e-02
Epoch 133: train 1.4726e-02 | val 5.7634e-02
Epoch 134: train 1.4715e-02 | val 5.8781e-02
Epoch 135: train 1.4691e-02 | val 5.7853e-02
Epoch 136: train 1.4664e-02 | val 5.8221e-02
Epoch 137: train 1.4644e-02 | val 5.8766e-02
Epoch 138: train 1.4654e-02 | val 5.9041e-02
Epoch 139: train 1.4624e-02 | val 5.7612e-02
Epoch 140: train 1.4629e-02 | val 5.8176e-02
Epoch 141: train 1.4603e-02 | val 5.9051e-02
Epoch 142: train 1.4613e-02 | val 5.8548e-02
Epoch 143: train 1.4594e-02 | val 5.8719e-02
Epoch 144: train 1.4569e-02 | val 5.9510e-02
