Train: 4100 Test: 700

Testing config: {'hidden_dims': (256, 256), 'dropout': 0.0, 'lr': 0.001, 'weight_decay': 0.0}
Epoch 112: train 3.6306e-02 | val 3.8012e-02
Epoch 113: train 3.6305e-02 | val 3.8005e-02
Epoch 114: train 3.6305e-02 | val 3.8010e-02
Epoch 115: train 3.6305e-02 | val 3.8008e-02
Epoch 116: train 3.6305e-02 | val 3.8017e-02
Epoch 117: train 3.6305e-02 | val 3.8003e-02
Epoch 118: train 3.6305e-02 | val 3.8013e-02
Epoch 119: train 3.6305e-02 | val 3.8033e-02
Epoch 120: train 3.6305e-02 | val 3.8003e-02
Epoch 121: train 3.6305e-02 | val 3.8003e-02
Epoch 122: train 3.6305e-02 | val 3.8010e-02
Epoch 123: train 3.6305e-02 | val 3.8007e-02
Epoch 124: train 3.6305e-02 | val 3.8010e-02
Epoch 125: train 3.6305e-02 | val 3.8016e-02
Epoch 126: train 3.6305e-02 | val 3.8011e-02
Epoch 127: train 3.6305e-02 | val 3.8005e-02
Epoch 128: train 3.6305e-02 | val 3.8003e-02
Epoch 129: train 3.6305e-02 | val 3.8007e-02
Epoch 130: train 3.6305e-02 | val 3.8003e-02
Epoch 131: train 3.6305e-02 | val 3.8007e-02
Epoch 132: train 3.6305e-02 | val 3.8003e-02
Epoch 133: train 3.6305e-02 | val 3.8023e-02
Epoch 134: train 3.6305e-02 | val 3.8004e-02
Epoch 135: train 3.6305e-02 | val 3.8008e-02
Epoch 136: train 3.6305e-02 | val 3.8003e-02
Epoch 137: train 3.6304e-02 | val 3.8005e-02
Epoch 138: train 3.6305e-02 | val 3.8016e-02
Epoch 139: train 3.6304e-02 | val 3.8011e-02
Epoch 140: train 3.6304e-02 | val 3.8010e-02
Epoch 141: train 3.6304e-02 | val 3.8034e-02
Epoch 142: train 3.6304e-02 | val 3.8028e-02
Epoch 143: train 3.6304e-02 | val 3.8002e-02
Epoch 144: train 3.6304e-02 | val 3.8017e-02
Epoch 145: train 3.6304e-02 | val 3.8012e-02
Epoch 146: train 3.6304e-02 | val 3.8103e-02
Epoch 147: train 3.6304e-02 | val 3.8070e-02
Epoch 148: train 3.6304e-02 | val 3.8031e-02
Epoch 149: train 3.6304e-02 | val 3.8071e-02
Epoch 150: train 3.6303e-02 | val 3.8320e-02
Epoch 151: train 3.6304e-02 | val 3.8324e-02
Epoch 152: train 3.6302e-02 | val 3.8438e-02
Epoch 153: train 3.6302e-02 | val 3.8002e-02
Epoch 154: train 3.6305e-02 | val 3.8006e-02
Epoch 155: train 3.6305e-02 | val 3.8006e-02
Epoch 156: train 3.6305e-02 | val 3.8001e-02
Epoch 157: train 3.6305e-02 | val 3.8003e-02
Epoch 158: train 3.6305e-02 | val 3.8002e-02
Epoch 159: train 3.6305e-02 | val 3.8004e-02
Epoch 160: train 3.6305e-02 | val 3.8001e-02
Epoch 161: train 3.6305e-02 | val 3.8003e-02
Epoch 162: train 3.6305e-02 | val 3.8002e-02
Epoch 163: train 3.6305e-02 | val 3.8004e-02
Epoch 164: train 3.6305e-02 | val 3.8001e-02
Epoch 165: train 3.6305e-02 | val 3.8001e-02
Epoch 166: train 3.6305e-02 | val 3.8005e-02
Epoch 167: train 3.6305e-02 | val 3.8002e-02
Epoch 168: train 3.6305e-02 | val 3.8004e-02
Epoch 169: train 3.6305e-02 | val 3.8004e-02
Epoch 170: train 3.6305e-02 | val 3.7999e-02
Epoch 171: train 3.6305e-02 | val 3.8004e-02
Epoch 172: train 3.6305e-02 | val 3.8004e-02
Epoch 173: train 3.6305e-02 | val 3.8003e-02
Epoch 174: train 3.6305e-02 | val 3.8003e-02
Epoch 175: train 3.6305e-02 | val 3.8005e-02
Epoch 176: train 3.6305e-02 | val 3.8005e-02
Epoch 177: train 3.6305e-02 | val 3.8001e-02
Epoch 178: train 3.6305e-02 | val 3.8002e-02
Epoch 179: train 3.6305e-02 | val 3.8005e-02
Epoch 180: train 3.6305e-02 | val 3.8003e-02
Epoch 181: train 3.6305e-02 | val 3.8003e-02
Epoch 182: train 3.6305e-02 | val 3.8003e-02
Epoch 183: train 3.6305e-02 | val 3.8005e-02
Epoch 184: train 3.6305e-02 | val 3.8001e-02
Epoch 185: train 3.6305e-02 | val 3.8001e-02
Epoch 186: train 3.6305e-02 | val 3.8003e-02
Epoch 187: train 3.6305e-02 | val 3.8006e-02
Epoch 188: train 3.6305e-02 | val 3.8001e-02
Epoch 189: train 3.6305e-02 | val 3.8003e-02
Epoch 190: train 3.6305e-02 | val 3.8004e-02
Epoch 191: train 3.6305e-02 | val 3.8005e-02
Epoch 192: train 3.6305e-02 | val 3.8003e-02
Epoch 193: train 3.6305e-02 | val 3.8004e-02
Epoch 194: train 3.6305e-02 | val 3.8007e-02
Epoch 195: train 3.6305e-02 | val 3.8003e-02
Epoch 196: train 3.6305e-02 | val 3.8000e-02
Epoch 197: train 3.6305e-02 | val 3.8001e-02
Epoch 198: train 3.6305e-02 | val 3.8003e-02
Epoch 199: train 3.6305e-02 | val 3.8005e-02
Epoch 200: train 3.6305e-02 | val 3.8002e-02
Epoch 201: train 3.6305e-02 | val 3.8003e-02
Epoch 202: train 3.6305e-02 | val 3.8001e-02
Epoch 203: train 3.6305e-02 | val 3.8004e-02
Epoch 204: train 3.6305e-02 | val 3.8001e-02
Epoch 205: train 3.6305e-02 | val 3.8004e-02
Epoch 206: train 3.6305e-02 | val 3.8001e-02
Epoch 207: train 3.6305e-02 | val 3.8001e-02
Epoch 208: train 3.6305e-02 | val 3.8005e-02
Epoch 209: train 3.6305e-02 | val 3.8003e-02
Epoch 210: train 3.6305e-02 | val 3.8002e-02
Epoch 211: train 3.6305e-02 | val 3.8001e-02
Epoch 212: train 3.6305e-02 | val 3.8001e-02
Epoch 213: train 3.6305e-02 | val 3.8006e-02
Epoch 214: train 3.6305e-02 | val 3.8004e-02
Epoch 215: train 3.6305e-02 | val 3.8001e-02
Epoch 216: train 3.6305e-02 | val 3.8005e-02
Epoch 217: train 3.6305e-02 | val 3.8004e-02
Epoch 218: train 3.6305e-02 | val 3.8004e-02
Epoch 219: train 3.6305e-02 | val 3.8001e-02
Epoch 220: train 3.6305e-02 | val 3.8002e-02
Epoch 221: train 3.6305e-02 | val 3.8004e-02
Epoch 222: train 3.6305e-02 | val 3.8002e-02
Epoch 223: train 3.6305e-02 | val 3.7999e-02
Epoch 224: train 3.6305e-02 | val 3.8003e-02
Epoch 225: train 3.6305e-02 | val 3.8002e-02
Epoch 226: train 3.6305e-02 | val 3.8004e-02
Epoch 227: train 3.6305e-02 | val 3.8005e-02
Epoch 228: train 3.6305e-02 | val 3.8002e-02
Epoch 229: train 3.6305e-02 | val 3.8002e-02
Epoch 230: train 3.6305e-02 | val 3.8005e-02
Epoch 231: train 3.6305e-02 | val 3.8000e-02
Epoch 232: train 3.6306e-02 | val 3.8005e-02
Epoch 233: train 3.6305e-02 | val 3.8003e-02
Epoch 234: train 3.6305e-02 | val 3.8005e-02
Epoch 235: train 3.6305e-02 | val 3.8003e-02
Epoch 236: train 3.6305e-02 | val 3.7999e-02
Epoch 237: train 3.6305e-02 | val 3.8000e-02
Epoch 238: train 3.6305e-02 | val 3.8003e-02
Epoch 239: train 3.6306e-02 | val 3.8004e-02
Epoch 240: train 3.6305e-02 | val 3.8008e-02
Epoch 241: train 3.6306e-02 | val 3.8004e-02
Epoch 242: train 3.6305e-02 | val 3.8003e-02
Epoch 243: train 3.6305e-02 | val 3.8003e-02
Epoch 244: train 3.6306e-02 | val 3.7998e-02
Epoch 245: train 3.6305e-02 | val 3.8003e-02
Epoch 246: train 3.6306e-02 | val 3.8004e-02
Epoch 247: train 3.6306e-02 | val 3.8002e-02
Epoch 248: train 3.6306e-02 | val 3.7999e-02
Epoch 249: train 3.6306e-02 | val 3.7999e-02
Epoch 250: train 3.6306e-02 | val 3.8004e-02
Epoch 251: train 3.6306e-02 | val 3.8005e-02
Epoch 252: train 3.6306e-02 | val 3.8006e-02
Epoch 253: train 3.6306e-02 | val 3.8001e-02
Epoch 254: train 3.6306e-02 | val 3.8000e-02
Epoch 255: train 3.6306e-02 | val 3.8004e-02
Epoch 256: train 3.6306e-02 | val 3.8003e-02
Epoch 257: train 3.6306e-02 | val 3.8003e-02
Epoch 258: train 3.6306e-02 | val 3.8003e-02
Epoch 259: train 3.6306e-02 | val 3.8001e-02
Epoch 260: train 3.6306e-02 | val 3.8005e-02
Epoch 261: train 3.6306e-02 | val 3.8006e-02
Epoch 262: train 3.6306e-02 | val 3.8002e-02
Epoch 263: train 3.6306e-02 | val 3.8001e-02
Epoch 264: train 3.6306e-02 | val 3.8007e-02
Epoch 265: train 3.6306e-02 | val 3.8002e-02
Epoch 266: train 3.6306e-02 | val 3.8004e-02
Epoch 267: train 3.6306e-02 | val 3.8000e-02
Epoch 268: train 3.6306e-02 | val 3.7997e-02
Epoch 269: train 3.6306e-02 | val 3.8002e-02
Epoch 270: train 3.6306e-02 | val 3.8007e-02
Epoch 271: train 3.6306e-02 | val 3.8003e-02
Epoch 272: train 3.6306e-02 | val 3.8009e-02
Epoch 273: train 3.6306e-02 | val 3.8003e-02
Epoch 274: train 3.6306e-02 | val 3.8001e-02
Epoch 275: train 3.6306e-02 | val 3.8003e-02
Epoch 276: train 3.6306e-02 | val 3.8002e-02
Epoch 277: train 3.6306e-02 | val 3.8003e-02
Epoch 278: train 3.6306e-02 | val 3.8003e-02
Epoch 279: train 3.6306e-02 | val 3.8003e-02
Epoch 280: train 3.6306e-02 | val 3.8004e-02
Epoch 281: train 3.6306e-02 | val 3.8004e-02
Epoch 282: train 3.6306e-02 | val 3.8006e-02
Epoch 283: train 3.6306e-02 | val 3.8001e-02
Epoch 284: train 3.6306e-02 | val 3.8005e-02
Epoch 285: train 3.6306e-02 | val 3.8005e-02
Epoch 286: train 3.6306e-02 | val 3.8003e-02
Epoch 287: train 3.6306e-02 | val 3.8002e-02
Epoch 288: train 3.6306e-02 | val 3.8007e-02
Epoch 289: train 3.6306e-02 | val 3.8001e-02
Epoch 290: train 3.6306e-02 | val 3.8004e-02
Epoch 291: train 3.6306e-02 | val 3.8005e-02
Epoch 292: train 3.6306e-02 | val 3.7999e-02
Epoch 293: train 3.6306e-02 | val 3.8005e-02
Epoch 294: train 3.6306e-02 | val 3.8002e-02
Epoch 295: train 3.6306e-02 | val 3.8001e-02
Epoch 296: train 3.6306e-02 | val 3.8001e-02
Epoch 297: train 3.6306e-02 | val 3.8001e-02
Epoch 298: train 3.6306e-02 | val 3.8003e-02
Epoch 299: train 3.6306e-02 | val 3.8008e-02
Epoch 300: train 3.6306e-02 | val 3.8003e-02

Testing config: {'hidden_dims': (512, 512), 'dropout': 0.05, 'lr': 0.001, 'weight_decay': 1e-05}
Epoch 001: train 1.9676e+00 | val 5.5014e-02
Epoch 002: train 5.3790e-02 | val 5.2229e-02
Epoch 003: train 4.9142e-02 | val 4.5247e-02
Epoch 004: train 4.1573e-02 | val 5.5394e-02
Epoch 005: train 3.9583e-02 | val 5.4051e-02
Epoch 006: train 3.9103e-02 | val 5.0857e-02
Epoch 007: train 3.8995e-02 | val 4.6245e-02
Epoch 008: train 3.8320e-02 | val 4.8860e-02
Epoch 009: train 3.8072e-02 | val 5.7036e-02
Epoch 010: train 3.7866e-02 | val 4.8158e-02
Epoch 011: train 3.7687e-02 | val 4.4568e-02
Epoch 012: train 3.7455e-02 | val 5.0023e-02
Epoch 013: train 3.7347e-02 | val 5.2443e-02
Epoch 014: train 3.7258e-02 | val 4.7676e-02
Epoch 015: train 3.7133e-02 | val 5.1295e-02
Epoch 016: train 3.7063e-02 | val 4.9472e-02
Epoch 017: train 3.6986e-02 | val 4.7233e-02
Epoch 018: train 3.6921e-02 | val 3.9795e-02
Epoch 019: train 3.7257e-02 | val 5.3520e-02
Epoch 020: train 3.6914e-02 | val 4.6990e-02
Epoch 021: train 3.6722e-02 | val 4.6712e-02
Epoch 022: train 3.6648e-02 | val 4.5990e-02
Epoch 023: train 3.6567e-02 | val 4.4979e-02
Epoch 024: train 3.6513e-02 | val 4.3726e-02
Epoch 025: train 3.6604e-02 | val 4.0351e-02
Epoch 026: train 3.6706e-02 | val 4.3567e-02
Epoch 027: train 3.6682e-02 | val 4.3699e-02
Epoch 028: train 3.6628e-02 | val 4.3956e-02
Epoch 029: train 3.6422e-02 | val 4.3055e-02
Epoch 030: train 3.6357e-02 | val 4.2751e-02
Epoch 031: train 3.6267e-02 | val 4.2802e-02
Epoch 032: train 3.6282e-02 | val 4.2890e-02
Epoch 033: train 3.6250e-02 | val 4.2314e-02
Epoch 034: train 3.6235e-02 | val 4.3424e-02
Epoch 035: train 3.6167e-02 | val 4.1882e-02
Epoch 036: train 3.6206e-02 | val 3.8569e-02
Epoch 037: train 3.6349e-02 | val 3.8316e-02
Epoch 038: train 3.6259e-02 | val 4.0504e-02
Epoch 039: train 3.6176e-02 | val 4.0022e-02
Epoch 040: train 3.6150e-02 | val 4.1482e-02
Epoch 041: train 3.6061e-02 | val 4.0787e-02
Epoch 042: train 3.6095e-02 | val 3.9782e-02
Epoch 043: train 3.6008e-02 | val 3.9748e-02
Epoch 044: train 3.6037e-02 | val 4.1169e-02
Epoch 045: train 3.6069e-02 | val 4.0734e-02
Epoch 046: train 3.6047e-02 | val 4.0829e-02
Epoch 047: train 3.5965e-02 | val 3.9850e-02
Epoch 048: train 3.5954e-02 | val 3.9060e-02
Epoch 049: train 3.5965e-02 | val 3.8633e-02
Epoch 050: train 3.5946e-02 | val 3.8236e-02
Epoch 051: train 3.5970e-02 | val 3.8161e-02
Epoch 052: train 3.6027e-02 | val 3.8038e-02
Epoch 053: train 3.6067e-02 | val 3.9936e-02
